BGRI2021,DT21,DTMN21,DTMNFR21,DTMNFRSEC2,SECNUM21,SSNUM21,SECSSNUM21,DT,CC,FR,SEC,SS,NUTS3_13,NUTS2_13,NUTS1_13,SUBSECCAO,N_EDIFICIO,N_EDIFIC_1,N_EDIFIC_2,N_EDIFIC_3,N_EDIFIC_4,N_EDIFIC_5,N_EDIFIC_6,N_EDIFIC_7,N_EDIFIC_8,N_EDIFIC_9,N_EDIFI_10,N_EDIFI_11,N_ALOJAMEN,N_ALOJAM_1,N_ALOJAM_2,N_ALOJAM_3,N_RHABITUA,N_RHABIT_1,N_RHABIT_2,N_RHABIT_3,N_AGREGADO,N_ADP_1_OU,N_ADP_3_OU,N_NUCLEOS_,N_NUCLEOS1,N_INDIVIDU,N_INDIVI_1,N_INDIVI_2,N_INDIVI_3,N_INDIVI_4,N_INDIVI_5,N_INDIVI_6,N_IND_ENSI,N_IND_EN_1,N_IND_EN_2,N_IND_EMPR,N_IND_REFO,svf_stdev,svf_min,svf_max,svf_varian,OBJECTID_1,BGRI2021_1,FREQUENCY,MEAN_altura,STD_altura,Shape_Length,Shape_Area,MBV,HVC,svf_mean
11151501107,11,1115,111515,111515011,011,07,01107,11,15,15,011,07,170,17,1,11151501107,17,13,4,17,10,7,9,5,2,1,0,14,36,36,28,8,3,3,9,16,28,19,9,13,7,57,25,32,4,10,29,14,25,16,7,24,14,0.253311049302083,-0.129659563302994,0.995770692825317,0.064166487698522,386,11151501107,16,9.138750000000002,4.193415274769085,205.856946013925437,2205.741523940928801,643.894320851397765,0.458860924608845,0.577032607479052
11151701306,11,1115,111517,111517013,013,06,01306,11,15,17,013,06,170,17,1,11151701306,30,0,30,28,0,30,0,18,12,0,0,4,199,199,171,28,57,86,118,42,171,108,63,131,49,399,175,224,46,38,171,144,160,103,107,155,128,0.270062853432087,-0.396551817655563,0.998518645763397,0.072933944803881,766,11151701306,38,15.767631578947373,5.219047461092686,1267.763147134229712,44212.025655711811851,4496.708477564971872,0.330997552483472,0.551963832493750
11151501108,11,1115,111515,111515011,011,08,01108,11,15,15,011,08,170,17,1,11151501108,12,7,5,12,7,5,3,8,1,0,0,10,34,34,25,9,0,0,21,2,25,14,11,17,10,64,32,32,9,7,33,15,30,10,16,31,14,0.259274093399050,-0.221227318048477,0.998175799846649,0.067223055507899,387,11151501108,12,8.520000000000001,2.675195829705320,210.046327196507178,2267.041447504801909,861.885108287031812,0.313990120857432,0.568593656671464
11151701203,11,1115,111517,111517012,012,03,01203,11,15,17,012,03,170,17,1,11151701203,7,0,7,6,0,7,0,7,0,0,0,4,51,51,40,11,3,1,25,14,40,28,12,29,10,91,40,51,10,4,47,30,40,26,19,34,30,0.293852344228631,-0.299090623855591,0.997447967529297,0.086349200208662,754,11151701203,8,15.507500000000000,0.369816556841747,344.246641276507887,4926.272549602593244,2821.026938940140553,0.023847593541302,0.567410658783433
11151501109,11,1115,111515,111515011,011,09,01109,11,15,15,011,09,170,17,1,11151501109,13,11,2,13,11,2,9,3,1,0,0,6,24,24,16,8,5,1,13,3,16,10,6,14,5,38,17,21,2,7,15,14,20,9,6,19,13,0.249180782974424,-0.202648639678955,0.994715750217438,0.062091062603747,388,11151501109,14,7.015714285714286,3.108793271415069,208.137135674969727,2180.369095389096856,605.719212513790126,0.443118568517725,0.591606109454947
11151501201,11,1115,111515,111515012,012,01,01201,11,15,15,012,01,170,17,1,11151501201,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.216016601837807,-0.181151092052460,0.994779586791992,0.046663172269554,393,11151501201,10,6.337999999999999,2.544173299478201,516.835708325696828,9658.754977236954801,177.532662998661891,0.401415793543421,0.693135623352445
11151701204,11,1115,111517,111517012,012,04,01204,11,15,17,012,04,170,17,1,11151701204,6,0,6,5,0,6,0,6,0,0,0,2,46,46,38,8,5,0,20,16,38,25,13,25,10,84,38,46,12,8,39,25,43,24,9,40,20,0.293596488831119,-0.342113673686981,0.998858749866486,0.086198898253962,755,11151701204,7,13.912857142857145,4.613844074397952,350.830803162577979,5512.205357513613308,2790.079319907451008,0.331624484246695,0.513664453332532
11151700201,11,1115,111517,111517002,002,01,00201,11,15,17,002,01,170,17,1,11151700201,11,0,11,11,0,11,0,7,4,0,0,2,95,95,81,14,4,0,66,13,81,64,17,53,18,157,65,92,11,14,57,75,83,30,34,48,74,0.265858668190361,-0.297629028558731,0.998075723648071,0.070680831451952,701,11151700201,10,15.758999999999995,0.743153191923883,407.161567859585546,7889.818928482452975,2789.595482585678837,0.047157382570206,0.526599592019520
11151501110,11,1115,111515,111515011,011,10,01110,11,15,15,011,10,170,17,1,11151501110,13,9,4,13,9,4,3,9,1,0,0,8,32,32,21,11,0,0,9,11,21,13,8,12,5,45,20,25,6,3,24,12,20,10,8,20,12,0.253968836673338,-0.099629864096642,0.998506247997284,0.064500170001209,389,11151501110,12,7.842500000000000,2.816064710645953,210.896974298183096,2256.164269255008548,811.630830432929997,0.359077425648193,0.562533913491545
11151701205,11,1115,111517,111517012,012,05,01205,11,15,17,012,05,170,17,1,11151701205,16,0,16,15,0,16,0,16,0,0,0,9,143,143,122,21,9,1,81,33,122,84,38,82,34,278,132,146,31,30,145,72,97,93,58,119,69,0.292221849625139,-0.334068387746811,0.998217880725861,0.085393609398337,756,11151701205,18,14.307777777777773,4.344347992176061,547.887367942039305,14856.172816179241636,2923.446549845064510,0.303635411428008,0.465098943284672
11151501602,11,1115,111515,111515016,016,02,01602,11,15,15,016,02,170,17,1,11151501602,10,0,10,8,0,10,0,1,9,0,0,4,118,118,104,14,59,61,75,20,104,72,32,77,39,241,109,132,32,32,113,64,105,61,51,86,66,0.215102808611089,-0.368419051170349,0.996891736984253,0.046269218272379,412,11151501602,11,17.765454545454546,5.894784752026762,443.498634911108070,9041.879479492030441,4435.064894318123152,0.331811648103031,0.550938109165412
